chain/sensor	Channel names	n	w	N	W	x	y
1.1	V1:NN_CEB_ACC_Y_LEV1_11	0.1	-0.1	-1.8	1.8	-1.8	-1.8
1.2	V1:NN_CEB_ACC_Y_LEV1_12	0.1	5.9	-1.8	7.8	-7.8	-1.8
1.3	V1:NN_CEB_ACC_Y_LEV1_13	2.5	5.9	0.6	7.8	-7.8	0.6
1.4	V1:NN_CEB_ACC_Y_LEV1_14	2.9	-0.1	1	1.8	-1.8	1
1.5	V1:NN_CEB_ACC_Y_LEV1_15	9.3	-0.1	7.4	1.8	-1.8	7.4
1.6	V1:NN_CEB_ACC_Y_LEV1_16	9.3	-2.6	7.4	-0.7	0.7	7.4
1.7	V1:NN_CEB_ACC_Y_LEV1_17	2.7	-2.6	0.8	-0.7	0.7	0.8
1.8	V1:NN_CEB_ACC_Y_LEV1_18	2.7	-10	0.8	-8.1	8.1	0.8
2.1	V1:NN_CEB_ACC_Y_LEV1_21	-8.2	-0.1	-10.1	1.8	-1.8	-10.1
2.2	V1:NN_CEB_ACC_Y_LEV1_22	-8.2	-2.6	-10.1	-0.7	0.7	-10.1
2.3	V1:NN_CEB_ACC_Y_LEV1_23	-6	-3.2	-7.9	-1.3	1.3	-7.9
2.4	V1:NN_CEB_ACC_Y_LEV1_24	-7	-8.7	-8.9	-6.8	6.8	-8.9
2.5	V1:NN_CEB_ACC_Y_LEV1_25	-0.1	-8.7	-2	-6.8	6.8	-2
2.6	V1:NN_CEB_ACC_Y_LEV1_26	-0.5	-5.8	-2.4	-3.9	3.9	-2.4
2.7	V1:NN_CEB_ACC_Y_LEV1_27	-3.4	-5.7	-5.3	-3.8	3.8	-5.3
2.8	V1:NN_CEB_ACC_Y_LEV1_28	-3	-3.4	-4.9	-1.5	1.5	-4.9
