chain/sensor	Channel names	n	w 	N	W	x	y
1.1	V1:NN_CEB_ACC_Y_LEV2_11	0.9	-2.1	6.65	-2.1	2.1	6.65
1.2	V1:NN_CEB_ACC_Y_LEV2_12	-1.6	-2.1	4.15	-2.1	2.1	4.15
1.3	V1:NN_CEB_ACC_Y_LEV2_13	-2.1	0.7	3.65	0.7	-0.7	3.65
1.4	V1:NN_CEB_ACC_Y_LEV2_14	-0.7	2.1	5.05	2.1	-2.1	5.05
1.5	V1:NN_CEB_ACC_Y_LEV2_15	1.5	2.1	7.25	2.1	-2.1	7.25
1.6	V1:NN_CEB_ACC_Y_LEV2_16	3.2	0.7	8.95	0.7	-0.7	8.95
1.7	V1:NN_CEB_ACC_Y_LEV2_17	6.1	0.7	11.85	0.7	-0.7	11.85
1.8	V1:NN_CEB_ACC_Y_LEV2_18	3.2	-0.6	8.95	-0.6	0.6	8.95
2.1	V1:NN_CEB_ACC_Y_LEV2_21	-2	0.1	-2	5.7	-5.7	-2
2.2	V1:NN_CEB_ACC_Y_LEV2_22	-0.6	2.9	-0.6	8.5	-8.5	-0.6
2.3	V1:NN_CEB_ACC_Y_LEV2_23	-0.9	5.8	-0.9	11.4	-11.4	-0.9
2.4	V1:NN_CEB_ACC_Y_LEV2_24	1.25	2.1	1.25	7.7	-7.7	1.25
2.5	V1:NN_CEB_ACC_Y_LEV2_25	2.9	0.7	2.9	6.3	-6.3	2.9
2.6	V1:NN_CEB_ACC_Y_LEV2_26	0.9	-2.1	0.9	3.5	-3.5	0.9
2.7	V1:NN_CEB_ACC_Y_LEV2_27	-0.1	-3.5	-0.1	2.1	-2.1	-0.1
2.8	V1:NN_CEB_ACC_Y_LEV2_28	-1.4	-2.2	-1.4	3.4	-3.4	-1.4
3.1	V1:NN_CEB_ACC_Y_LEV2_31			9.2	-5.4	5.4	9.2
3.2	V1:NN_CEB_ACC_Y_LEV2_32	0.7	-5	5.2	5.2	-5.2	5.2
3.3	V1:NN_CEB_ACC_Y_LEV2_33	0.3	-1.3	4.8	8.9	-8.9	4.8
3.4	V1:NN_CEB_ACC_Y_LEV2_34	1.6	-0.2	6.1	10	-10	6.1
4.1	V1:NN_CEB_ACC_Y_LEV2_41	3.2	-5.4	13.3	-5.4	5.4	13.3
4.2	V1:NN_CEB_ACC_Y_LEV2_42	7	-5.4	17.1	-5.4	5.4	17.1
4.3	V1:NN_CEB_ACC_Y_LEV2_43	7.8	0.8	17.9	0.8	-0.8	17.9
4.4	V1:NN_CEB_ACC_Y_LEV2_44	3.7	3.6	13.8	3.6	-3.6	13.8
5.1	V1:NN_CEB_ACC_Y_LEV2_51	0.2	1.4	-9.3	6.2	-6.2	-9.3
5.2	V1:NN_CEB_ACC_Y_LEV2_52	4.3	2	-5.2	6.8	-6.8	-5.2
5.3	V1:NN_CEB_ACC_Y_LEV2_53	-3.6	0.4	-3.6	12.2	-12.2	-3.6
5.4	V1:NN_CEB_ACC_Y_LEV2_54	-3.6	5.3	-3.6	17.1	-17.1	-3.6
5.5	V1:NN_CEB_ACC_Y_LEV2_55	-0.9	7.2	-0.9	19	-19	-0.9
5.6	V1:NN_CEB_ACC_Y_LEV2_56	3.7	6.8	3.7	18.6	-18.6	3.7
5.7	V1:NN_CEB_ACC_Y_LEV2_57	3.7	1.7	3.7	13.5	-13.5	3.7
6.1	V1:NN_CEB_ACC_Y_LEV2_61			-1.8	-14.8	14.8	-1.8
6.2	V1:NN_CEB_ACC_Y_LEV2_62			5.7	-14.8	14.8	5.7
